gene_name	source
NUDT4	retrogeneDB2-retrocopy
NENF	retrogeneDB2-retrocopy
RAD23B	retrogeneDB2-retrocopy
PKM	retrogeneDB2-retrocopy
RANBP1	retrogeneDB2-retrocopy
TIPIN	retrogeneDB2-retrocopy
SNRPD1	retrogeneDB2-retrocopy
EIF4H	retrogeneDB2-retrocopy
AKTIP	retrogeneDB2-retrocopy
APOA1BP	retrogeneDB2-retrocopy
HAX1	retrogeneDB2-retrocopy
FDX1	retrogeneDB2-retrocopy
DNAJC9	retrogeneDB2-retrocopy
HSP90B1	retrogeneDB2-retrocopy
MAGOH	retrogeneDB2-retrocopy
SETD8	retrogeneDB2-retrocopy
SELT	retrogeneDB2-retrocopy
NOL11	retrogeneDB2-retrocopy
HOMER2	retrogeneDB2-retrocopy
HCN2	retrogeneDB2-retrocopy
DDX50	retrogeneDB2-retrocopy
CTDSP2	retrogeneDB2-retrocopy
PCBP2	retrogeneDB2-retrocopy
CCT8	retrogeneDB2-retrocopy
UQCRB	retrogeneDB2-retrocopy
CSRP2	retrogeneDB2-retrocopy
PGK1	retrogeneDB2-retrocopy
MTCH2	retrogeneDB2-retrocopy
SDAD1	retrogeneDB2-retrocopy
WBP11	retrogeneDB2-retrocopy
UBE2F	retrogeneDB2-retrocopy
LIN28A	retrogeneDB2-retrocopy
C20orf27	retrogeneDB2-retrocopy
TNPO1	retrogeneDB2-retrocopy
TXNL4A	retrogeneDB2-retrocopy
CRB3	retrogeneDB2-retrocopy
TIMM9	retrogeneDB2-retrocopy
SAP18	retrogeneDB2-retrocopy
RALBP1	retrogeneDB2-retrocopy
VOPP1	retrogeneDB2-retrocopy
FAM210B	retrogeneDB2-retrocopy
WDR4	retrogeneDB2-retrocopy
PSMA2	retrogeneDB2-retrocopy
TMED10	retrogeneDB2-retrocopy
CDK2AP1	retrogeneDB2-retrocopy
CHMP1A	retrogeneDB2-retrocopy
RPSA	retrogeneDB2-retrocopy
RCN1	retrogeneDB2-retrocopy
ISCU	retrogeneDB2-retrocopy
EIF1AX	retrogeneDB2-retrocopy
FBLIM1	retrogeneDB2-retrocopy
GRPEL2	retrogeneDB2-retrocopy
DYNLRB1	retrogeneDB2-retrocopy
ACTG1	retrogeneDB2-retrocopy
TTC3	retrogeneDB2-retrocopy
RNF145	retrogeneDB2-retrocopy
PARK7	retrogeneDB2-retrocopy
NAA50	retrogeneDB2-retrocopy
BMPR1A	retrogeneDB2-retrocopy
RALA	retrogeneDB2-retrocopy
MRPS36	retrogeneDB2-retrocopy
PGAM5	retrogeneDB2-retrocopy
GPATCH11	retrogeneDB2-retrocopy
LSM2	retrogeneDB2-retrocopy
PRPS1	retrogeneDB2-retrocopy
COX6A1	retrogeneDB2-retrocopy
CBLL1	retrogeneDB2-retrocopy
H1FOO	retrogeneDB2-retrocopy
PKP2	retrogeneDB2-retrocopy
MRPL49	retrogeneDB2-retrocopy
RNPC3	retrogeneDB2-retrocopy
VTA1	retrogeneDB2-retrocopy
GNB2L1	retrogeneDB2-retrocopy
DOK1	retrogeneDB2-retrocopy
